g1_n_id,att1,att2,att3,att4,att5,att6,att7,att8
0,5,4,4,3,5,2,3,5
1,4,5,4,3,4,1,5,2
2,3,4,5,2,2,4,5,5
3,5,3,1,5,3,1,5,1
4,5,1,3,3,5,3,1,4
5,4,4,5,2,4,2,2,5
6,3,1,2,4,3,1,3,1
7,5,2,3,5,5,1,5,2
8,4,3,1,3,5,4,1,1
9,4,5,1,1,1,1,2,2
10,1,2,2,2,3,1,2,5
11,3,4,5,5,1,2,1,1
12,4,4,1,3,4,1,3,4
13,2,4,4,4,4,3,1,2
14,1,1,2,3,1,3,1,2
15,5,4,5,4,3,5,5,2
16,4,3,1,2,1,2,2,2
17,1,5,4,2,5,3,5,2
18,3,5,2,2,1,5,1,2
19,3,5,1,5,5,3,5,1
20,1,5,2,1,5,3,4,2
21,5,2,1,3,2,4,1,5
22,4,2,3,5,1,5,3,3
23,3,5,1,5,5,3,1,4
24,1,5,3,5,1,5,4,4
25,3,4,5,5,5,1,1,4
26,1,2,4,5,2,5,4,5
27,2,2,2,1,3,5,5,4
28,4,5,1,5,4,4,2,1
29,5,5,3,1,5,2,4,4
30,3,1,3,3,5,2,4,2
31,1,3,4,1,4,2,2,2
32,2,2,2,2,5,2,3,1
33,4,1,2,4,4,1,2,5
34,2,4,1,1,4,2,4,3
35,1,4,5,1,3,1,4,1
36,3,5,4,4,2,2,4,1
37,1,5,3,2,1,4,2,5
38,3,2,1,1,2,1,3,2
39,1,2,2,1,3,3,2,5
40,3,1,1,1,2,2,1,1
41,4,4,4,3,5,5,4,4
42,5,2,1,3,5,1,5,4
43,3,3,5,2,1,1,1,5
45,1,5,2,2,3,1,5,5
46,4,1,2,4,1,5,4,1
47,5,3,4,4,1,4,4,5
48,1,5,3,1,1,4,4,3
49,4,4,3,2,2,1,3,4
50,3,1,4,4,1,3,5,3
51,3,2,4,1,1,1,3,2
52,3,4,5,3,2,2,2,3
53,5,1,3,5,3,4,3,4
54,1,4,5,2,2,1,4,4
55,1,4,1,1,5,3,3,2
56,4,2,4,4,4,4,5,4
57,3,2,2,3,1,3,1,4
58,1,2,5,4,3,2,5,4
59,5,2,3,2,4,4,2,2
60,4,1,1,3,5,4,2,5
61,3,5,4,4,1,4,2,4
62,1,4,2,3,3,1,3,4
63,4,5,4,4,4,5,3,4
65,1,3,2,3,2,5,3,2
66,5,2,2,3,5,5,4,4
67,5,4,5,4,2,2,2,1
68,2,5,1,3,3,5,5,2
69,5,5,3,2,2,4,3,2
70,2,4,2,1,1,5,5,2
71,3,2,5,2,2,5,1,5
72,2,5,4,4,2,5,1,5
73,1,4,4,1,1,1,5,3
74,4,1,4,1,5,1,1,2
75,4,3,3,1,4,2,4,4
76,5,4,1,1,4,5,4,3
77,3,4,4,3,3,5,2,2
78,2,3,2,2,4,5,3,2
79,4,1,3,3,2,4,4,1
80,5,5,2,2,2,3,1,4
81,1,3,3,1,4,4,1,3
82,2,3,1,4,2,1,2,4
83,1,1,4,1,4,4,5,5
84,1,4,3,5,5,3,5,5
85,2,2,4,3,3,4,5,5
86,1,4,5,2,3,4,1,5
87,5,1,3,2,4,3,1,2
88,4,4,1,4,2,3,5,3
89,4,1,2,5,4,2,3,4
90,3,5,5,3,3,4,1,3
91,1,2,2,3,1,2,1,1
92,5,2,3,5,4,4,3,2
93,4,2,3,3,5,3,4,4
94,5,5,4,3,5,5,4,1
95,3,2,4,4,1,4,4,4
96,1,3,3,5,3,2,4,4
