g2_n_id,att1,att2,att3,att4,att5,att6,att7,att8
69702,5,4,4,3,5,2,3,1
60885,4,5,4,3,4,1,5,2
104239,3,2,5,2,2,4,5,5
107725,5,3,1,5,3,1,5,1
61000,5,1,3,3,5,3,1,4
76755,4,4,5,2,3,2,1,5
107912,3,1,2,2,3,1,3,1
96885,5,2,3,5,5,1,5,2
79562,5,3,1,3,5,4,1,1
90229,4,5,1,1,1,3,2,5
60183,5,2,2,2,4,5,2,5
86636,3,4,1,3,1,2,1,1
61702,4,4,1,3,4,1,3,4
93458,2,4,4,4,3,3,1,2
93339,1,1,3,3,5,2,1,2
114278,5,4,5,4,3,5,5,2
90453,4,3,1,2,4,5,2,2
109724,1,5,4,2,5,3,5,2
114014,3,5,2,2,1,5,1,2
79867,3,5,1,5,5,3,5,1
72243,1,5,5,1,4,3,2,2
76469,2,2,1,3,5,4,1,5
91464,4,2,3,5,1,5,3,3
104015,3,5,1,5,5,3,1,4
88317,1,5,3,5,1,5,2,4
79240,3,3,5,5,5,1,1,4
110934,1,2,4,5,2,5,4,5
82755,2,2,2,1,3,5,5,4
63610,4,5,1,5,4,1,2,4
102614,5,4,3,1,5,2,4,4
101205,3,1,3,3,5,2,4,2
80139,1,3,1,1,4,2,2,2
100447,2,3,2,5,5,2,3,1
108854,4,1,2,4,1,1,2,5
115400,2,4,3,1,4,2,4,1
87954,1,4,5,1,3,1,4,1
87031,3,5,4,4,2,4,3,1
74302,1,5,3,2,1,1,2,5
82222,3,2,1,1,2,1,5,2
71579,1,2,2,1,3,3,5,5
84275,3,1,1,1,2,2,1,1
105727,4,4,4,3,5,5,4,4
108325,5,2,1,3,5,1,5,4
113485,3,3,5,2,1,1,1,5
62187,1,5,2,2,4,1,5,5
77921,4,1,2,4,1,5,4,1
109020,5,3,4,4,1,4,4,5
106479,1,4,3,1,1,4,4,3
71479,4,4,3,2,2,1,1,4
107434,3,1,4,4,1,3,3,3
59219,3,2,3,1,1,1,3,2
102827,3,4,5,3,2,2,2,3
88480,5,1,1,5,3,4,3,4
73158,1,4,5,2,2,1,4,4
77549,1,4,1,1,5,3,3,2
85684,4,2,4,4,4,4,5,4
62439,3,2,2,3,1,3,1,4
103154,1,2,5,1,4,2,5,4
112335,5,2,3,2,5,4,2,2
62552,4,1,1,3,5,4,2,5
61048,3,5,4,4,1,4,2,4
60910,1,4,2,3,5,1,1,4
79194,4,5,4,4,5,5,3,4
64797,1,1,2,3,5,5,3,2
99181,5,2,2,3,4,5,1,4
92543,3,4,4,4,2,2,2,1
58235,2,5,5,2,3,5,5,2
98775,5,5,3,2,2,4,3,2
109930,2,4,2,1,1,3,5,2
72663,3,2,3,2,2,5,5,5
102493,2,5,4,4,2,5,1,5
77169,1,4,4,1,1,1,5,3
75811,1,3,4,1,5,1,1,2
73259,4,3,3,1,4,2,4,4
84981,1,4,5,1,4,5,4,1
114954,3,4,4,3,3,5,2,2
67969,3,3,2,2,4,5,3,2
111612,4,1,3,3,2,4,4,1
105460,5,5,2,2,2,5,1,4
61163,2,3,3,1,4,4,1,3
95288,2,3,1,4,2,1,2,3
114470,1,1,4,1,4,4,5,5
65881,1,4,3,5,5,3,2,5
74377,2,2,4,3,3,4,5,5
91626,1,4,5,2,3,4,1,5
101021,5,1,3,2,4,3,1,2
76216,4,4,1,3,2,4,5,3
62407,1,1,2,5,2,2,3,4
98165,3,5,5,3,3,4,1,3
111605,1,2,2,3,1,2,1,3
109140,5,1,3,5,4,4,3,2
65760,5,2,3,3,5,3,4,4
85611,5,5,4,3,5,5,4,1
102412,3,2,4,4,1,4,4,4
112225,1,3,3,5,3,2,4,4
58792,1,4,1,1,2,3,2,5
109723,1,1,1,2,5,5,1,1
95828,2,2,4,1,4,5,4,5
99243,2,1,4,4,4,2,2,5
75639,4,1,2,5,4,2,2,3
98509,2,4,1,4,2,4,4,2
99360,2,4,3,4,3,1,2,1
81113,3,1,1,5,5,5,4,3
103920,5,1,5,2,1,5,5,1
75129,1,4,1,5,2,2,5,4
73806,3,2,4,4,4,1,5,4
114181,3,1,1,3,2,4,3,5
93835,4,2,1,5,2,3,3,1
62241,2,5,2,5,2,5,3,4
63548,1,4,4,2,5,5,5,1
110756,1,1,1,3,2,3,2,5
69975,2,1,4,1,2,1,3,5
96571,2,5,2,1,5,5,2,1
80408,1,1,1,4,5,3,4,1
68844,2,2,3,2,3,1,1,5
71640,5,4,5,4,2,4,3,3
78587,3,2,5,4,4,2,3,3
77402,4,3,5,2,2,5,5,3
71731,4,3,1,5,5,5,4,2
58361,1,2,1,4,5,2,5,4
77653,3,5,4,2,2,1,5,1
61829,4,4,4,5,4,5,5,2
81713,5,5,5,3,4,4,5,4
92801,5,2,4,5,3,4,5,2
89260,3,2,3,1,1,3,5,4
66791,3,2,4,5,5,5,5,3
93740,5,2,2,3,5,4,4,4
85089,4,4,4,5,5,5,3,3
102743,5,3,2,1,1,1,3,1
59334,3,3,4,4,4,3,2,2
67644,2,3,3,4,4,3,3,2
84736,1,5,4,2,1,3,3,2
85384,4,5,1,3,2,4,4,5
92166,4,1,1,2,4,5,2,3
69747,2,3,2,4,3,1,2,3
108670,1,4,4,1,2,5,1,5
82987,4,3,2,4,4,2,1,1
102591,5,2,1,3,1,1,2,4
98591,4,3,1,2,4,5,5,3
107047,2,3,2,4,5,2,1,3
95181,4,5,3,2,1,3,2,5
72095,4,1,3,1,2,1,1,3
66603,3,3,1,4,3,3,1,1
87952,4,5,3,5,2,3,2,4
76071,5,3,3,4,2,5,2,4
115299,2,2,3,3,1,3,1,5
64425,2,1,2,5,3,2,3,1
83235,4,5,5,1,1,3,1,4
94896,3,2,1,5,2,2,1,2
111380,2,4,2,3,4,4,2,1
108236,5,5,3,5,2,2,4,1
85134,2,2,5,2,1,5,5,5
84353,5,2,3,5,4,5,1,1
112443,1,3,2,2,5,1,2,2
59233,5,2,1,1,3,4,2,5
89831,2,3,4,1,5,1,5,4
115369,3,1,4,3,4,1,5,5
87120,4,3,3,1,5,1,4,2
73452,4,3,1,2,5,5,3,4
90983,5,5,5,1,3,3,4,1
82239,5,2,1,3,3,1,3,5
90039,4,3,2,3,4,4,2,3
80910,2,5,3,5,2,5,2,4
100979,1,4,4,1,3,5,2,3
82124,1,2,4,1,4,3,4,3
104330,5,5,4,5,2,1,5,4
73378,2,2,4,5,4,5,1,1
75911,2,3,1,1,2,4,1,2
86725,3,5,1,5,5,2,1,5
74655,1,5,2,4,1,1,1,4
101623,5,3,1,2,2,4,2,2
63025,1,4,5,1,3,2,2,1
82202,1,3,4,1,3,1,5,4
67945,3,2,2,2,1,5,4,4
85837,2,5,2,1,3,3,2,2
92322,4,4,1,3,4,2,4,5
79998,5,3,3,4,4,1,2,3
58289,2,1,2,1,2,2,4,2
62837,3,2,2,2,4,1,3,2
91937,4,4,5,3,2,1,4,5
115186,3,1,5,4,4,5,3,2
81800,2,2,5,5,4,4,5,3
67364,4,4,2,5,4,3,4,2
97616,4,5,5,4,3,2,5,2
84792,3,3,1,1,2,4,4,5
63931,2,3,1,1,4,2,3,3
84628,4,3,5,4,1,5,4,3
113402,1,5,2,2,2,3,2,4
87103,3,1,3,1,4,3,2,1
85695,5,5,4,1,3,1,2,4
100924,4,2,3,4,4,2,1,3
91227,1,5,5,1,3,4,5,3
91715,4,2,3,1,2,4,2,1
102741,1,2,2,5,2,4,4,5
70815,1,1,2,5,2,1,4,3
110058,3,3,4,2,1,5,2,1
80564,4,3,2,1,2,2,3,4
76333,3,4,2,1,1,4,5,3
58230,3,3,1,3,3,1,5,1
73518,1,5,1,4,5,5,2,2
113893,1,4,1,1,3,5,2,3
106541,5,3,3,2,5,1,1,2
59164,1,2,5,4,1,3,3,5
79113,4,3,2,1,5,5,1,5
93521,3,1,5,5,1,1,3,3
88242,4,4,2,1,2,2,3,3
103905,5,3,1,2,4,4,4,2
105371,4,1,1,1,2,5,4,1
113938,1,1,3,4,2,1,5,3
85547,5,3,3,1,3,2,4,2
60935,3,1,3,5,2,5,4,3
75088,1,3,2,5,5,2,4,5
112395,2,2,2,1,1,5,4,2
105281,1,5,5,1,3,3,5,4
91965,4,3,4,3,1,2,2,4
60730,2,5,5,3,3,2,4,2
109012,3,5,1,1,5,4,4,4
112101,1,1,4,5,2,1,3,2
79098,5,4,5,3,5,5,5,2
87374,4,5,3,5,1,2,1,5
114514,5,2,3,4,1,3,1,5
97984,1,3,2,2,5,5,2,5
68158,3,5,2,3,1,4,3,2
80508,1,1,1,4,5,2,2,1
101428,1,4,1,1,1,4,3,2
89664,5,3,5,3,5,1,5,5
112191,5,1,1,3,4,4,3,4
60042,5,4,3,2,3,3,4,4
94983,3,2,5,1,5,2,1,3
63460,2,1,3,4,1,4,4,1
86863,1,1,4,4,1,1,4,2
93630,4,1,3,2,5,4,4,3
98727,2,2,5,3,2,2,3,3
98027,3,1,2,2,3,3,3,1
89794,2,1,1,1,2,2,4,2
108075,2,4,4,5,4,4,4,1
87856,3,3,5,1,3,5,2,2
80122,3,3,3,1,1,4,2,1
75130,1,3,5,2,4,3,2,1
106812,3,4,5,4,4,2,3,2
105562,5,4,5,3,4,3,5,5
83743,4,5,5,1,3,2,4,4
100811,4,2,4,5,3,1,3,3
73254,4,3,1,4,1,3,5,2
101894,1,1,1,4,3,1,4,2
77399,4,3,5,4,1,2,4,3
108156,2,4,1,4,1,3,4,3
101963,4,4,3,5,4,5,5,3
107156,3,3,2,1,5,3,4,3
77013,5,1,1,4,4,2,5,3
85493,3,3,5,2,1,5,2,2
64525,5,5,1,1,1,1,3,5
104138,2,2,5,2,2,3,5,1
102572,2,2,4,4,3,3,5,2
87592,1,2,5,5,5,5,3,5
62119,1,1,1,4,2,2,5,5
106656,3,3,4,4,5,2,5,4
87714,1,1,5,1,5,2,5,5
88128,5,3,3,2,2,2,1,5
103586,3,2,3,4,2,1,1,4
75043,5,1,1,5,1,3,4,2
59126,5,4,1,2,2,3,5,1
98490,1,4,2,4,3,3,4,2
92804,4,4,2,5,1,4,2,3
99978,2,3,2,2,3,5,5,4
77275,2,3,5,5,3,4,5,2
104323,4,3,3,1,1,1,1,2
96476,2,4,2,2,4,1,1,2
93359,4,2,1,2,2,2,4,3
103003,2,2,4,1,5,3,5,3
73913,3,2,3,3,5,3,2,4
95107,3,2,4,5,3,4,3,5
62057,4,1,4,2,3,4,3,4
102544,1,5,5,3,2,5,1,3
90347,2,3,5,3,2,5,3,5
103259,5,5,4,1,5,2,2,1
80233,1,2,1,4,5,2,5,5
70459,5,2,3,5,5,2,2,1
63371,5,5,3,3,1,1,1,5
64408,1,3,3,5,1,4,2,3
83778,1,2,2,2,1,2,3,1
74216,2,3,5,1,5,1,5,1
80110,4,5,4,3,5,5,4,1
58825,3,5,2,5,3,3,1,3
92071,1,5,5,1,3,1,4,1
61925,2,4,3,4,2,2,5,3
70167,5,4,3,5,4,2,1,4
94204,1,2,3,1,3,5,3,3
76164,2,4,3,2,1,5,4,2
64589,2,5,4,2,4,4,2,1
99358,1,1,4,3,3,2,4,5
112240,3,3,2,5,3,3,2,3
67626,5,3,2,1,1,4,2,3
74297,1,5,2,2,4,2,2,1
82275,2,5,4,5,3,4,4,4
81567,4,3,3,2,3,5,5,3
98810,5,2,3,5,2,1,5,2
89618,1,1,5,2,2,4,4,2
81936,2,3,4,1,2,3,3,4
105830,4,4,3,1,4,1,3,3
69090,5,5,5,2,2,3,4,2
109740,5,3,4,5,1,4,5,2
72817,4,2,2,3,2,1,4,5
63399,4,3,5,5,2,2,2,5
91523,5,3,5,5,3,4,2,5
86838,5,3,2,5,3,2,3,1
110630,5,4,3,3,3,5,3,2
60373,5,5,2,1,2,2,2,2
61924,3,4,5,5,4,2,5,3
84963,2,2,2,3,2,2,4,2
71120,5,2,2,1,2,3,5,4
96997,4,1,4,4,1,5,2,1
115471,5,4,4,1,5,3,1,1
87983,4,2,4,4,3,2,2,1
66278,5,5,4,5,3,3,5,2
92613,5,1,5,2,3,2,2,4
112393,2,3,3,5,4,4,3,4
63561,3,1,3,2,1,4,1,3
62255,1,3,4,4,5,1,3,5
104442,2,1,3,1,1,1,2,3
59409,4,1,3,3,3,2,5,3
105520,4,3,2,3,1,3,5,3
107348,5,1,2,3,1,5,1,3
81639,2,4,5,1,5,5,4,1
96820,5,3,4,2,2,5,1,3
88501,3,3,1,3,4,5,2,1
112345,2,4,1,5,5,4,5,2
87203,1,5,2,5,3,5,5,3
64296,4,2,3,4,4,2,2,5
72671,1,1,1,2,1,4,5,2
107695,3,2,4,4,4,4,3,1
107744,3,2,3,2,2,1,2,2
65011,5,4,5,2,1,3,5,3
96338,5,4,4,4,5,3,3,5
90392,3,4,3,5,4,3,5,5
70674,1,1,3,3,5,5,3,2
91835,5,2,5,3,1,3,2,4
63045,2,1,5,5,4,2,3,2
110139,1,1,5,5,4,5,2,4
89455,4,2,3,1,3,5,2,5
69830,1,3,1,3,3,2,2,5
79437,5,2,3,3,4,5,5,1
88188,3,2,1,1,1,4,5,4
110372,4,3,3,3,2,5,1,5
62044,1,1,1,5,1,2,2,1
65434,3,4,1,4,4,3,4,2
88404,5,1,1,1,5,2,2,3
67017,5,5,5,2,5,5,5,5
114659,5,4,3,3,4,4,3,1
77307,5,2,2,4,1,3,3,2
